/* DATA DESCRIPTION:
Citation:	Rae, James W B; Sarnthein, Michael; Foster, Gavin L; Ridgwell, Andy; Grootes, Pieter Meiert; Elliott, Tim (2014): (Table 4) Atmospheric 14C record used for calculating foram-atmosphere reservoir ages. PANGAEA, https://doi.org/10.1594/PANGAEA.833525, 
	In supplement to: Rae, JWB et al. (2014): Deep water formation in the North Pacific and deglacial CO2 rise. Paleoceanography, 29(6), 645-667, https://doi.org/10.1002/2013PA002570
Further details:	Reimer, Paula J; Baillie, Mike G L; Bard, Edouard; Bayliss, Alex; Beck, J Warren; Blackwell, Paul G; Ramsey, Christopher Bronk; Burr, George S; Edwards, R Lawrence; Friedrich, Michael; Grootes, Pieter Meiert; Guilderson, Thomas P; Hajdas, Irena; Heaton, T J; Hogg, Alan G; Hughen, Konrad A; Kaiser, Klaus-Felix; Kromer, Bernd; McCormac, F Gerry; Manning, Sturt W; Reimer, Ron W; Richards, David A; Southon, John R; Talamo, Sahra; Turney, Chris S M; van der Plicht, Johannes; Weyhenmeyer, Constanze E (2009): IntCal09 and Marine09 Radiocarbon Age Calibration Curves, 0-50,000 Years cal BP. Radiocarbon, 51(4), 1111-1150, https://doi.org/10.1017/S0033822200034202
	Southon, John; Noronha, Alexandra L; Cheng, Hai; Edwards, R Lawrence; Wang, Yongjin (2012): A high-resolution record of atmospheric 14C based on Hulu Cave speleothem H82. Quaternary Science Reviews, 33, 32-41, https://doi.org/10.1016/j.quascirev.2011.11.022
Comment:	Based on IntCal09 from 0-15 and 26-50 kyr BP, and Southon et al. 2012's Hulu Cave 14C record from 15-26 kyr BP.
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Age, dated [ka] (Age dated) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx) * METHOD/DEVICE: Age, 14C conventional
	Age, error [±] (Age e) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx) * METHOD/DEVICE: Age, 14C conventional * COMMENT: 1 sigma
	Δ14C [‰] (Δ14C) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
	Δ14C, standard deviation [±] (Δ14C std dev) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
	Reference/source (Reference) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	15415 data points
*/
Age [ka BP]	Age dated [ka]	Age e [±]	Δ14C [‰]	Δ14C std dev [±]	Reference
17.646	14.505	0.065	389.0	8.0	Southon12
17.541	14.405	0.065	389.0	8.0	Southon12
17.420	14.280	0.065	390.0	8.0	Southon12
17.292	14.210	0.065	381.0	8.0	Southon12
17.239	14.220	0.065	370.0	8.0	Southon12
17.186	14.135	0.065	376.0	8.0	Southon12
17.108	14.125	0.065	365.0	8.0	Southon12
17.072	14.075	0.065	367.0	8.0	Southon12
17.062	14.030	0.065	373.0	8.0	Southon12
17.053	14.065	0.065	366.0	8.0	Southon12
17.001	13.980	0.060	372.0	7.0	Southon12
16.936	13.895	0.060	376.0	7.0	Southon12
16.826	13.890	0.060	358.0	7.0	Southon12
16.731	13.825	0.060	354.0	7.0	Southon12
16.686	13.840	0.060	344.0	7.0	Southon12
16.564	13.740	0.055	341.0	7.0	Southon12
16.434	13.665	0.060	332.0	7.0	Southon12
16.361	13.650	0.055	323.0	7.0	Southon12
16.284	13.595	0.055	320.0	7.0	Southon12
16.190	13.460	0.060	327.0	7.0	Southon12
16.133	13.365	0.058	333.0	7.0	Southon12
16.132	13.460	0.055	318.0	7.0	Southon12
16.034	13.320	0.060	325.0	7.0	Southon12
15.879	13.230	0.060	315.0	7.0	Southon12
15.799	13.160	0.055	314.0	7.0	Southon12
15.712	13.075	0.055	314.0	7.0	Southon12
15.652	13.080	0.055	303.0	7.0	Southon12
15.634	13.040	0.055	307.0	7.0	Southon12
15.603	13.030	0.055	304.0	7.0	Southon12
15.554	12.940	0.055	311.0	7.0	Southon12
15.467	12.980	0.055	291.0	7.0	Southon12
15.349	12.970	0.055	274.0	7.0	Southon12
15.245	12.830	0.055	280.0	7.0	Southon12
15.169	12.773	0.058	278.0	7.0	Southon12
15.069	12.620	0.055	286.0	7.0	Southon12
15.000	12.609	0.110	277.5	17.5	IntCal09
14.990	12.602	0.109	277.0	17.3	IntCal09
14.980	12.595	0.108	276.6	17.2	IntCal09
14.970	12.588	0.107	276.2	17.0	IntCal09
14.960	12.581	0.105	275.7	16.7	IntCal09
14.950	12.574	0.103	275.3	16.4	IntCal09
14.940	12.567	0.102	274.9	16.2	IntCal09
14.930	12.560	0.099	274.4	15.7	IntCal09
14.920	12.553	0.097	274.0	15.4	IntCal09
14.910	12.544	0.093	273.9	14.7	IntCal09
14.900	12.536	0.090	273.6	14.3	IntCal09
14.890	12.528	0.087	273.4	13.8	IntCal09
14.880	12.520	0.084	273.1	13.3	IntCal09
14.870	12.514	0.082	272.5	13.0	IntCal09
14.860	12.509	0.082	271.7	13.0	IntCal09
14.850	12.507	0.084	270.5	13.3	IntCal09
14.840	12.504	0.086	269.5	13.6	IntCal09
14.830	12.503	0.089	268.1	14.0	IntCal09
14.820	12.502	0.091	266.7	14.3	IntCal09
14.810	12.501	0.093	265.3	14.6	IntCal09
14.800	12.499	0.093	264.1	14.6	IntCal09
14.790	12.498	0.094	262.8	14.8	IntCal09
14.780	12.497	0.094	261.4	14.8	IntCal09
14.770	12.496	0.093	260.0	14.6	IntCal09
14.760	12.497	0.092	258.3	14.4	IntCal09
14.750	12.498	0.090	256.7	14.1	IntCal09
14.740	12.499	0.088	255.0	13.7	IntCal09
14.730	12.501	0.085	253.2	13.3	IntCal09
14.720	12.503	0.081	251.3	12.6	IntCal09
14.710	12.506	0.077	249.3	12.0	IntCal09
14.700	12.508	0.072	247.5	11.2	IntCal09
14.690	12.508	0.069	246.0	10.7	IntCal09
14.680	12.507	0.067	244.7	10.4	IntCal09
14.670	12.505	0.066	243.5	10.2	IntCal09
14.660	12.502	0.066	242.4	10.2	IntCal09
14.650	12.498	0.066	241.5	10.2	IntCal09
14.640	12.495	0.065	240.5	10.0	IntCal09
14.630	12.491	0.064	239.6	9.9	IntCal09
14.620	12.488	0.062	238.6	9.6	IntCal09
14.610	12.484	0.060	237.7	9.2	IntCal09
14.600	12.479	0.058	237.0	8.9	IntCal09
14.590	12.473	0.057	236.4	8.8	IntCal09
14.580	12.465	0.055	236.1	8.5	IntCal09
14.570	12.457	0.054	235.9	8.3	IntCal09
14.560	12.450	0.055	235.5	8.5	IntCal09
14.550	12.442	0.056	235.2	8.6	IntCal09
14.540	12.435	0.058	234.8	8.9	IntCal09
14.530	12.429	0.059	234.2	9.1	IntCal09
14.520	12.424	0.061	233.5	9.4	IntCal09
14.510	12.420	0.062	232.6	9.5	IntCal09
14.500	12.416	0.062	231.7	9.5	IntCal09
14.490	12.412	0.062	230.9	9.5	IntCal09
14.480	12.409	0.062	229.8	9.5	IntCal09
14.470	12.406	0.061	228.8	9.3	IntCal09
14.460	12.403	0.061	227.8	9.3	IntCal09
14.450	12.402	0.061	226.4	9.3	IntCal09
14.440	12.402	0.060	225.0	9.1	IntCal09
14.430	12.403	0.058	223.3	8.8	IntCal09
14.420	12.404	0.056	221.7	8.5	IntCal09
14.410	12.404	0.054	220.2	8.2	IntCal09
14.400	12.404	0.053	218.7	8.0	IntCal09
14.390	12.404	0.054	217.3	8.2	IntCal09
14.380	12.403	0.056	215.9	8.5	IntCal09
14.370	12.402	0.059	214.6	8.9	IntCal09
14.360	12.403	0.061	213.0	9.2	IntCal09
14.350	12.404	0.062	211.4	9.3	IntCal09
14.340	12.408	0.062	209.3	9.3	IntCal09
14.330	12.412	0.062	207.3	9.3	IntCal09
14.320	12.416	0.062	205.2	9.3	IntCal09
14.310	12.420	0.062	203.1	9.3	IntCal09
14.300	12.424	0.061	201.1	9.1	IntCal09
14.290	12.425	0.061	199.5	9.1	IntCal09
14.280	12.425	0.060	198.0	8.9	IntCal09
14.270	12.423	0.059	196.9	8.8	IntCal09
14.260	12.418	0.058	196.2	8.6	IntCal09
14.250	12.411	0.058	195.8	8.6	IntCal09
14.240	12.402	0.059	195.7	8.8	IntCal09
14.230	12.392	0.061	195.7	9.1	IntCal09
14.220	12.381	0.063	195.9	9.4	IntCal09
14.210	12.371	0.065	196.0	9.7	IntCal09
14.200	12.361	0.067	196.0	10.0	IntCal09
14.190	12.350	0.070	196.2	10.4	IntCal09
14.180	12.339	0.072	196.4	10.7	IntCal09
14.170	12.328	0.074	196.6	11.0	IntCal09
14.160	12.315	0.075	197.1	11.2	IntCal09
14.150	12.303	0.075	197.4	11.2	IntCal09
14.140	12.291	0.074	197.7	11.0	IntCal09
14.130	12.280	0.072	197.9	10.7	IntCal09
14.120	12.269	0.070	198.1	10.4	IntCal09
14.110	12.260	0.068	198.0	10.1	IntCal09
14.100	12.252	0.065	197.8	9.7	IntCal09
14.090	12.246	0.062	197.2	9.2	IntCal09
14.080	12.240	0.059	196.6	8.8	IntCal09
14.070	12.234	0.056	196.1	8.3	IntCal09
14.060	12.227	0.055	195.7	8.2	IntCal09
14.050	12.216	0.055	195.9	8.2	IntCal09
14.040	12.203	0.055	196.4	8.2	IntCal09
14.030	12.188	0.056	197.2	8.3	IntCal09
14.020	12.174	0.055	197.8	8.2	IntCal09
14.010	12.161	0.055	198.3	8.2	IntCal09
14.000	12.150	0.055	198.5	8.2	IntCal09
13.990	12.141	0.055	198.4	8.2	IntCal09
13.980	12.132	0.056	198.3	8.4	IntCal09
13.970	12.123	0.056	198.2	8.4	IntCal09
13.960	12.114	0.056	198.0	8.4	IntCal09
13.950	12.106	0.057	197.8	8.5	IntCal09
13.940	12.097	0.057	197.7	8.5	IntCal09
13.930	12.088	0.057	197.6	8.5	IntCal09
13.920	12.080	0.057	197.3	8.5	IntCal09
13.910	12.071	0.056	197.2	8.3	IntCal09
13.900	12.063	0.056	197.0	8.3	IntCal09
13.890	12.055	0.056	196.7	8.3	IntCal09
13.880	12.046	0.056	196.6	8.3	IntCal09
13.870	12.037	0.057	196.5	8.5	IntCal09
13.860	12.028	0.058	196.4	8.6	IntCal09
13.850	12.017	0.060	196.6	8.9	IntCal09
13.840	12.004	0.062	197.1	9.2	IntCal09
13.830	11.991	0.064	197.6	9.5	IntCal09
13.820	11.977	0.066	198.2	9.8	IntCal09
13.810	11.963	0.066	198.8	9.8	IntCal09
13.800	11.948	0.067	199.6	10.0	IntCal09
13.790	11.933	0.066	200.4	9.9	IntCal09
13.780	11.918	0.065	201.2	9.7	IntCal09
13.770	11.903	0.064	202.0	9.6	IntCal09
13.760	11.887	0.062	202.9	9.3	IntCal09
13.750	11.872	0.061	203.7	9.1	IntCal09
13.740	11.857	0.059	204.5	8.8	IntCal09
13.730	11.843	0.056	205.2	8.4	IntCal09
13.720	11.830	0.053	205.6	8.0	IntCal09
13.710	11.820	0.052	205.7	7.8	IntCal09
13.700	11.812	0.051	205.4	7.7	IntCal09
13.690	11.805	0.051	205.0	7.7	IntCal09
13.680	11.798	0.051	204.6	7.6	IntCal09
13.670	11.792	0.053	204.1	7.9	IntCal09
13.660	11.784	0.054	203.8	8.1	IntCal09
13.650	11.777	0.055	203.4	8.2	IntCal09
13.640	11.770	0.056	203.0	8.4	IntCal09
13.630	11.762	0.056	202.7	8.4	IntCal09
13.620	11.754	0.056	202.5	8.4	IntCal09
13.610	11.746	0.056	202.2	8.4	IntCal09
13.600	11.736	0.056	202.3	8.4	IntCal09
13.590	11.727	0.054	202.2	8.1	IntCal09
13.580	11.719	0.054	201.9	8.1	IntCal09
13.570	11.713	0.052	201.3	7.8	IntCal09
13.560	11.710	0.052	200.3	7.8	IntCal09
13.550	11.711	0.053	198.7	7.9	IntCal09
13.540	11.714	0.055	196.8	8.2	IntCal09
13.530	11.717	0.058	194.9	8.6	IntCal09
13.520	11.718	0.060	193.3	8.9	IntCal09
13.510	11.715	0.062	192.4	9.2	IntCal09
13.500	11.709	0.063	191.8	9.3	IntCal09
13.490	11.700	0.065	191.7	9.6	IntCal09
13.480	11.689	0.066	191.9	9.8	IntCal09
13.470	11.676	0.067	192.4	9.9	IntCal09
13.460	11.661	0.068	193.2	10.1	IntCal09
13.450	11.646	0.067	193.9	10.0	IntCal09
13.440	11.630	0.067	194.9	10.0	IntCal09
13.430	11.614	0.066	195.8	9.8	IntCal09
13.420	11.598	0.064	196.7	9.5	IntCal09
13.410	11.583	0.061	197.5	9.1	IntCal09
13.400	11.568	0.059	198.3	8.8	IntCal09
13.390	11.553	0.058	199.1	8.7	IntCal09
13.380	11.539	0.056	199.7	8.4	IntCal09
13.370	11.526	0.055	200.2	8.2	IntCal09
13.360	11.516	0.055	200.3	8.2	IntCal09
13.350	11.506	0.055	200.3	8.2	IntCal09
13.340	11.496	0.056	200.4	8.4	IntCal09
13.330	11.484	0.058	200.7	8.7	IntCal09
13.320	11.472	0.060	201.0	9.0	IntCal09
13.310	11.457	0.062	201.8	9.3	IntCal09
13.300	11.440	0.064	202.9	9.6	IntCal09
13.290	11.421	0.066	204.3	9.9	IntCal09
13.280	11.401	0.066	205.9	9.9	IntCal09
13.270	11.381	0.064	207.4	9.6	IntCal09
13.260	11.364	0.061	208.5	9.2	IntCal09
13.250	11.350	0.057	209.1	8.6	IntCal09
13.240	11.338	0.054	209.5	8.1	IntCal09
13.230	11.330	0.052	209.2	7.8	IntCal09
13.220	11.323	0.051	208.8	7.7	IntCal09
13.210	11.318	0.051	208.1	7.7	IntCal09
13.200	11.311	0.052	207.7	7.8	IntCal09
13.190	11.303	0.052	207.4	7.8	IntCal09
13.180	11.295	0.052	207.2	7.8	IntCal09
13.170	11.285	0.053	207.2	8.0	IntCal09
13.160	11.275	0.053	207.3	8.0	IntCal09
13.150	11.265	0.053	207.3	8.0	IntCal09
13.140	11.253	0.052	207.7	7.8	IntCal09
13.130	11.238	0.053	208.5	8.0	IntCal09
13.120	11.219	0.054	209.8	8.1	IntCal09
13.110	11.196	0.055	211.9	8.3	IntCal09
13.100	11.168	0.053	214.6	8.0	IntCal09
13.090	11.140	0.050	217.4	7.6	IntCal09
13.080	11.117	0.047	219.4	7.1	IntCal09
13.070	11.103	0.045	220.0	6.8	IntCal09
13.060	11.094	0.045	219.9	6.8	IntCal09
13.050	11.090	0.045	219.1	6.8	IntCal09
13.040	11.088	0.044	217.9	6.7	IntCal09
13.030	11.090	0.044	216.1	6.7	IntCal09
13.020	11.094	0.045	214.0	6.8	IntCal09
13.010	11.100	0.046	211.7	6.9	IntCal09
13.000	11.104	0.047	209.6	7.1	IntCal09
12.990	11.104	0.047	208.1	7.1	IntCal09
12.980	11.100	0.048	207.3	7.2	IntCal09
12.970	11.093	0.048	206.9	7.2	IntCal09
12.960	11.085	0.050	206.6	7.5	IntCal09
12.950	11.077	0.053	206.4	8.0	IntCal09
12.940	11.068	0.057	206.3	8.6	IntCal09
12.930	11.058	0.061	206.3	9.2	IntCal09
12.920	11.046	0.065	206.6	9.8	IntCal09
12.910	11.034	0.068	207.0	10.2	IntCal09
12.900	11.022	0.069	207.3	10.4	IntCal09
12.890	11.009	0.069	207.8	10.4	IntCal09
12.880	10.997	0.069	208.2	10.4	IntCal09
12.870	10.987	0.068	208.2	10.2	IntCal09
12.860	10.980	0.067	207.8	10.1	IntCal09
12.850	10.975	0.066	207.1	9.9	IntCal09
12.840	10.972	0.066	206.1	9.9	IntCal09
12.830	10.970	0.066	204.9	9.9	IntCal09
12.820	10.969	0.066	203.6	9.9	IntCal09
12.810	10.968	0.067	202.3	10.0	IntCal09
12.800	10.965	0.068	201.3	10.2	IntCal09
12.790	10.961	0.069	200.4	10.3	IntCal09
12.780	10.955	0.070	199.9	10.5	IntCal09
12.770	10.947	0.071	199.6	10.6	IntCal09
12.760	10.938	0.073	199.5	10.9	IntCal09
12.750	10.927	0.073	199.7	10.9	IntCal09
12.740	10.916	0.075	199.9	11.2	IntCal09
12.730	10.906	0.076	200.0	11.4	IntCal09
12.720	10.895	0.078	200.1	11.7	IntCal09
12.710	10.883	0.080	200.5	12.0	IntCal09
12.700	10.870	0.082	201.0	12.3	IntCal09
12.690	10.856	0.083	201.6	12.4	IntCal09
12.680	10.840	0.083	202.6	12.4	IntCal09
12.670	10.822	0.082	203.8	12.3	IntCal09
12.660	10.802	0.080	205.3	12.0	IntCal09
12.650	10.780	0.076	207.2	11.4	IntCal09
12.640	10.759	0.072	208.9	10.8	IntCal09
12.630	10.741	0.072	210.1	10.8	IntCal09
12.620	10.723	0.075	211.4	11.3	IntCal09
12.610	10.702	0.077	213.1	11.6	IntCal09
12.600	10.678	0.078	215.2	11.8	IntCal09
12.590	10.652	0.077	217.7	11.7	IntCal09
12.580	10.626	0.074	220.2	11.2	IntCal09
12.570	10.600	0.068	222.6	10.3	IntCal09
12.560	10.576	0.059	224.8	9.0	IntCal09
12.550	10.553	0.046	226.9	7.0	IntCal09
12.540	10.530	0.016	228.9	2.4	IntCal09
12.530	10.521	0.016	228.8	2.4	IntCal09
12.520	10.493	0.018	231.6	2.8	IntCal09
12.510	10.476	0.020	232.7	3.1	IntCal09
12.500	10.481	0.023	230.4	3.5	IntCal09
12.490	10.486	0.027	228.2	4.1	IntCal09
12.480	10.492	0.024	225.8	3.7	IntCal09
12.470	10.501	0.024	222.9	3.7	IntCal09
12.460	10.515	0.023	219.3	3.5	IntCal09
12.450	10.523	0.020	216.6	3.0	IntCal09
12.440	10.519	0.019	215.8	2.9	IntCal09
12.430	10.501	0.020	217.0	3.0	IntCal09
12.420	10.475	0.019	219.5	2.9	IntCal09
12.410	10.455	0.019	221.1	2.9	IntCal09
12.400	10.440	0.019	221.9	2.9	IntCal09
12.390	10.423	0.016	223.0	2.4	IntCal09
12.380	10.398	0.018	225.3	2.7	IntCal09
12.370	10.375	0.018	227.3	2.8	IntCal09
12.360	10.369	0.016	226.8	2.4	IntCal09
12.350	10.388	0.017	222.4	2.6	IntCal09
12.340	10.395	0.018	219.8	2.7	IntCal09
12.330	10.397	0.017	218.1	2.6	IntCal09
12.320	10.393	0.018	217.2	2.7	IntCal09
12.310	10.380	0.020	217.7	3.0	IntCal09
12.300	10.376	0.019	216.8	2.9	IntCal09
12.290	10.383	0.020	214.3	3.0	IntCal09
12.280	10.390	0.022	211.8	3.3	IntCal09
12.270	10.394	0.020	209.7	3.0	IntCal09
12.260	10.399	0.021	207.5	3.2	IntCal09
12.250	10.407	0.021	204.8	3.1	IntCal09
12.240	10.421	0.019	201.3	2.8	IntCal09
12.230	10.413	0.020	201.0	3.0	IntCal09
12.220	10.390	0.022	203.0	3.3	IntCal09
12.210	10.372	0.022	204.2	3.3	IntCal09
12.200	10.365	0.020	203.8	3.0	IntCal09
12.190	10.375	0.018	200.9	2.7	IntCal09
12.180	10.387	0.017	197.6	2.5	IntCal09
12.170	10.386	0.018	196.3	2.7	IntCal09
12.160	10.384	0.019	195.2	2.8	IntCal09
12.150	10.377	0.024	194.8	3.6	IntCal09
12.140	10.364	0.029	195.3	4.3	IntCal09
12.130	10.352	0.030	195.6	4.5	IntCal09
12.120	10.343	0.031	195.5	4.6	IntCal09
12.110	10.336	0.029	195.1	4.3	IntCal09
12.100	10.329	0.027	194.7	4.0	IntCal09
12.090	10.319	0.025	194.7	3.7	IntCal09
12.080	10.305	0.025	195.4	3.7	IntCal09
12.070	10.294	0.025	195.6	3.7	IntCal09
12.060	10.285	0.025	195.5	3.7	IntCal09
12.050	10.275	0.024	195.5	3.6	IntCal09
12.040	10.262	0.022	196.0	3.3	IntCal09
12.030	10.250	0.024	196.3	3.6	IntCal09
12.020	10.245	0.028	195.6	4.2	IntCal09
12.010	10.245	0.029	194.2	4.3	IntCal09
12.000	10.243	0.026	193.0	3.9	IntCal09
11.990	10.235	0.025	192.8	3.7	IntCal09
11.980	10.217	0.028	194.0	4.2	IntCal09
11.970	10.197	0.029	195.6	4.3	IntCal09
11.960	10.177	0.027	197.1	4.0	IntCal09
11.950	10.165	0.025	197.4	3.7	IntCal09
11.940	10.163	0.025	196.3	3.7	IntCal09
11.930	10.166	0.024	194.4	3.6	IntCal09
11.920	10.169	0.021	192.5	3.1	IntCal09
11.910	10.171	0.021	190.8	3.1	IntCal09
11.900	10.169	0.024	189.6	3.6	IntCal09
11.890	10.170	0.025	188.0	3.7	IntCal09
11.880	10.173	0.024	186.1	3.5	IntCal09
11.870	10.183	0.023	183.2	3.4	IntCal09
11.860	10.200	0.022	179.3	3.2	IntCal09
11.850	10.207	0.021	176.9	3.1	IntCal09
11.840	10.197	0.022	176.9	3.2	IntCal09
11.830	10.178	0.021	178.3	3.1	IntCal09
11.820	10.157	0.020	179.9	2.9	IntCal09
11.810	10.144	0.018	180.4	2.6	IntCal09
11.800	10.140	0.019	179.6	2.8	IntCal09
11.790	10.141	0.019	178.0	2.8	IntCal09
11.780	10.146	0.021	175.8	3.1	IntCal09
11.770	10.143	0.020	174.8	2.9	IntCal09
11.760	10.124	0.022	176.2	3.2	IntCal09
11.750	10.103	0.021	177.9	3.1	IntCal09
11.740	10.098	0.018	177.2	2.6	IntCal09
11.730	10.106	0.019	174.6	2.8	IntCal09
11.720	10.103	0.021	173.6	3.1	IntCal09
11.710	10.093	0.021	173.6	3.1	IntCal09
11.700	10.078	0.021	174.4	3.1	IntCal09
11.690	10.065	0.018	174.9	2.6	IntCal09
11.680	10.062	0.018	173.9	2.6	IntCal09
11.670	10.079	0.018	170.0	2.6	IntCal09
11.660	10.090	0.017	167.0	2.5	IntCal09
11.650	10.088	0.016	165.9	2.3	IntCal09
11.640	10.077	0.016	166.1	2.3	IntCal09
11.630	10.077	0.017	164.6	2.5	IntCal09
11.620	10.064	0.017	165.1	2.5	IntCal09
11.610	10.047	0.019	166.2	2.8	IntCal09
11.600	10.025	0.018	168.0	2.6	IntCal09
11.590	10.011	0.018	168.6	2.6	IntCal09
11.580	10.012	0.018	167.0	2.6	IntCal09
11.570	10.013	0.018	165.5	2.6	IntCal09
11.560	10.017	0.018	163.5	2.6	IntCal09
11.550	10.027	0.018	160.6	2.6	IntCal09
11.540	10.029	0.016	158.9	2.3	IntCal09
11.530	10.028	0.017	157.7	2.4	IntCal09
11.520	10.046	0.018	153.7	2.6	IntCal09
11.510	10.051	0.017	151.6	2.4	IntCal09
11.500	10.034	0.016	152.6	2.3	IntCal09
11.490	10.024	0.018	152.7	2.6	IntCal09
11.480	10.027	0.018	150.8	2.6	IntCal09
11.470	10.017	0.017	150.9	2.4	IntCal09
11.460	10.013	0.018	150.1	2.6	IntCal09
11.450	10.020	0.016	147.7	2.3	IntCal09
11.440	10.022	0.016	146.0	2.3	IntCal09
11.430	10.028	0.017	143.8	2.4	IntCal09
11.420	10.036	0.018	141.2	2.6	IntCal09
11.410	10.027	0.018	141.1	2.6	IntCal09
11.400	10.004	0.017	143.0	2.4	IntCal09
11.390	9.973	0.017	146.1	2.4	IntCal09
11.380	9.965	0.017	145.8	2.4	IntCal09
11.370	9.982	0.018	142.0	2.6	IntCal09
11.360	9.976	0.023	141.5	3.3	IntCal09
11.350	9.968	0.023	141.2	3.3	IntCal09
11.340	9.964	0.020	140.4	2.8	IntCal09
11.330	9.960	0.018	139.6	2.6	IntCal09
11.320	9.946	0.021	140.2	3.0	IntCal09
11.310	9.934	0.022	140.5	3.1	IntCal09
11.300	9.929	0.020	139.9	2.8	IntCal09
11.290	9.931	0.021	138.2	3.0	IntCal09
11.280	9.928	0.017	137.3	2.4	IntCal09
11.270	9.918	0.015	137.3	2.1	IntCal09
11.260	9.894	0.014	139.3	2.0	IntCal09
11.250	9.879	0.016	140.1	2.3	IntCal09
11.240	9.846	0.018	143.4	2.6	IntCal09
11.230	9.818	0.018	146.0	2.6	IntCal09
11.220	9.799	0.021	147.3	3.0	IntCal09
11.210	9.780	0.018	148.6	2.6	IntCal09
11.200	9.754	0.016	151.0	2.3	IntCal09
11.195	9.736	0.015	152.9	2.2	IntCal09
11.190	9.730	0.014	153.0	2.0	IntCal09
11.185	9.722	0.015	153.5	2.2	IntCal09
11.180	9.714	0.015	153.9	2.2	IntCal09
11.175	9.702	0.016	155.0	2.3	IntCal09
11.170	9.688	0.016	156.3	2.3	IntCal09
11.165	9.679	0.018	156.9	2.6	IntCal09
11.160	9.674	0.018	156.9	2.6	IntCal09
11.155	9.672	0.016	156.5	2.3	IntCal09
11.150	9.672	0.016	155.8	2.3	IntCal09
11.145	9.671	0.015	155.2	2.2	IntCal09
11.140	9.667	0.016	155.1	2.3	IntCal09
11.135	9.662	0.016	155.1	2.3	IntCal09
11.130	9.658	0.018	155.0	2.6	IntCal09
11.125	9.653	0.019	155.0	2.7	IntCal09
11.120	9.648	0.017	155.0	2.4	IntCal09
11.115	9.650	0.015	154.0	2.2	IntCal09
11.110	9.653	0.016	152.9	2.3	IntCal09
11.105	9.647	0.016	153.1	2.3	IntCal09
11.100	9.636	0.016	154.0	2.3	IntCal09
11.095	9.628	0.016	154.4	2.3	IntCal09
11.090	9.625	0.016	154.1	2.3	IntCal09
11.085	9.618	0.015	154.5	2.2	IntCal09
11.080	9.609	0.015	155.0	2.2	IntCal09
11.075	9.602	0.015	155.4	2.2	IntCal09
11.070	9.587	0.014	156.8	2.0	IntCal09
11.065	9.567	0.014	159.0	2.0	IntCal09
11.060	9.551	0.015	160.6	2.2	IntCal09
11.055	9.547	0.017	160.5	2.5	IntCal09
11.050	9.546	0.016	159.9	2.3	IntCal09
11.045	9.546	0.015	159.2	2.2	IntCal09
11.040	9.546	0.015	158.5	2.2	IntCal09
11.035	9.551	0.015	157.1	2.2	IntCal09
11.030	9.560	0.017	155.1	2.4	IntCal09
11.025	9.568	0.018	153.3	2.6	IntCal09
11.020	9.574	0.020	151.7	2.9	IntCal09
11.015	9.578	0.020	150.4	2.9	IntCal09
11.010	9.578	0.019	149.7	2.7	IntCal09
11.005	9.569	0.021	150.3	3.0	IntCal09
11.000	9.560	0.021	150.9	3.0	IntCal09
10.995	9.556	0.023	150.8	3.3	IntCal09
10.990	9.552	0.023	150.7	3.3	IntCal09
10.985	9.550	0.021	150.3	3.0	IntCal09
10.980	9.550	0.019	149.6	2.7	IntCal09
10.975	9.554	0.018	148.3	2.6	IntCal09
10.970	9.560	0.017	146.8	2.4	IntCal09
10.965	9.566	0.017	145.2	2.4	IntCal09
10.960	9.571	0.017	143.8	2.4	IntCal09
10.955	9.578	0.017	142.1	2.4	IntCal09
10.950	9.590	0.016	139.7	2.3	IntCal09
10.945	9.602	0.016	137.3	2.3	IntCal09
10.940	9.608	0.014	135.8	2.0	IntCal09
10.935	9.607	0.014	135.2	2.0	IntCal09
10.930	9.609	0.016	134.3	2.3	IntCal09
10.925	9.614	0.018	132.9	2.5	IntCal09
10.920	9.621	0.019	131.2	2.7	IntCal09
10.915	9.626	0.020	129.8	2.8	IntCal09
10.910	9.626	0.020	129.1	2.8	IntCal09
10.905	9.625	0.019	128.6	2.7	IntCal09
10.900	9.624	0.018	128.1	2.5	IntCal09
10.895	9.622	0.017	127.7	2.4	IntCal09
10.890	9.620	0.017	127.3	2.4	IntCal09
10.885	9.617	0.015	127.0	2.1	IntCal09
10.880	9.611	0.016	127.2	2.2	IntCal09
10.875	9.604	0.018	127.5	2.5	IntCal09
10.870	9.593	0.018	128.3	2.5	IntCal09
